,scores,paramters
434,0.588927534995,"[50, 50, 32, 100, 300]"
435,0.64456725845,"[50, 50, 32, 100, 300]"
436,0.496969955616,"[50, 50, 32, 100, 300]"
437,0.523600204848,"[50, 50, 32, 100, 300]"
438,0.613968077842,"[50, 50, 32, 100, 300]"
439,0.534312051895,"[50, 50, 32, 100, 300]"
440,0.401043444862,"[50, 50, 32, 100, 300]"
441,0.456437777398,"[50, 50, 32, 100, 100]"
442,0.627859337658,"[50, 50, 32, 100, 100]"
443,0.695288494367,"[50, 50, 32, 100, 100]"
444,0.544341072038,"[50, 50, 32, 100, 100]"
445,0.585097302834,"[50, 50, 32, 100, 100]"
446,0.504609081598,"[50, 50, 32, 100, 100]"
447,0.59257639126,"[50, 50, 32, 100, 100]"
448,0.580744281325,"[50, 50, 32, 100, 100]"
449,0.654308210994,"[50, 50, 32, 100, 100]"
450,0.590666609764,"[50, 50, 32, 100, 32]"
451,0.572166268351,"[50, 50, 32, 100, 32]"
452,0.570245817685,"[50, 50, 32, 100, 32]"
453,0.62559747354,"[50, 50, 32, 100, 32]"
454,0.573916012291,"[50, 50, 32, 100, 32]"
455,0.592395015364,"[50, 50, 32, 100, 32]"
456,0.52044213042,"[50, 50, 32, 100, 32]"
457,0.626237623762,"[50, 50, 32, 100, 32]"
458,0.61330658928,"[50, 50, 32, 100, 32]"
459,0.704250597474,"[50, 50, 32, 32, 300]"
460,0.559128542165,"[50, 50, 32, 32, 300]"
461,0.628424803687,"[50, 50, 32, 32, 300]"
462,0.606627688631,"[50, 50, 32, 32, 300]"
463,0.604131102765,"[50, 50, 32, 32, 300]"
464,0.5858654831,"[50, 50, 32, 32, 300]"
465,0.553132468419,"[50, 50, 32, 32, 300]"
466,0.652665158757,"[50, 50, 32, 32, 300]"
467,0.50437435985,"[50, 50, 32, 32, 300]"
468,0.578781153977,"[50, 50, 32, 32, 100]"
469,0.62120177535,"[50, 50, 32, 32, 100]"
470,0.695224479344,"[50, 50, 32, 32, 100]"
471,0.6022106521,"[50, 50, 32, 32, 100]"
472,0.628414134517,"[50, 50, 32, 32, 100]"
473,0.709457152612,"[50, 50, 32, 32, 100]"
474,0.608526800956,"[50, 50, 32, 32, 100]"
475,0.598199044042,"[50, 50, 32, 32, 100]"
476,0.642369409355,"[50, 50, 32, 32, 100]"
477,0.709030385797,"[50, 50, 32, 32, 32]"
478,0.660891089109,"[50, 50, 32, 32, 32]"
479,0.642006657562,"[50, 50, 32, 32, 32]"
480,0.696440764766,"[50, 50, 32, 32, 32]"
481,0.640662342096,"[50, 50, 32, 32, 32]"
482,0.515320928645,"[50, 50, 32, 32, 32]"
483,0.664262546944,"[50, 50, 32, 32, 32]"
484,0.61595254353,"[50, 50, 32, 32, 32]"
485,0.537256742916,"[50, 50, 32, 32, 32]"
486,0.589194264254,"[50, 10, 300, 100, 300]"
